Date,Open,High,Low,Close,Volume
11/03/2020,"10.75","11.86","10.63","11.57","7,454,472"
11/02/2020,"10.82","11.09","10.50","10.75","5,227,011"
10/30/2020,"11.64","11.64","10.36","10.47","11,562,370"
10/29/2020,"11.88","12.25","11.68","11.73","4,165,843"
10/28/2020,"12.27","13.05","11.78","11.82","6,388,580"
10/27/2020,"13.71","13.71","12.36","12.69","7,231,006"
10/26/2020,"14.93","15.45","13.26","13.45","13,376,270"
10/23/2020,"15.05","15.38","14.55","15.00","6,507,324"
10/22/2020,"14.20","15.87","14.19","14.91","16,212,230"
10/21/2020,"13.90","14.42","13.80","14.10","5,361,928"
10/20/2020,"14.03","14.14","13.67","13.86","6,603,951"
10/19/2020,"13.44","14.50","13.38","13.91","13,169,070"
10/16/2020,"13.77","13.90","13.08","13.31","11,651,580"
10/15/2020,"11.99","15.10","11.99","13.83","39,894,820"
10/14/2020,"12.67","12.68","12.05","12.25","10,776,760"
10/13/2020,"11.73","12.42","11.65","11.88","10,179,710"
10/12/2020,"11.66","12.77","11.40","11.80","23,655,699"
10/09/2020,"12.83","14.80","11.90","12.02","77,152,781"
10/08/2020,"9.54","13.64","9.19","13.49","76,453,562"
10/07/2020,"9.23","9.56","9.17","9.36","3,308,644"
10/06/2020,"9.56","9.84","9.10","9.13","4,535,421"
10/05/2020,"9.44","9.59","9.25","9.46","2,804,969"
10/02/2020,"9.38","9.78","9.30","9.39","4,340,484"
10/01/2020,"10.09","10.25","9.69","9.77","4,554,055"
09/30/2020,"10.25","10.76","10.06","10.20","6,079,033"
09/29/2020,"10.00","10.65","9.93","10.35","5,244,339"
